      Time          Predicted AL
2018/126-11:09:23     -322.7
2018/126-11:19:23     -312.9
2018/126-11:29:23     -266.6
2018/126-11:39:23     -265.5
2018/126-11:49:23     -328.3
2018/126-11:59:23     -376.3
2018/126-12:09:23     -411.9
2018/126-12:19:23     -451.5
2018/126-12:29:23     -467.0
2018/126-12:39:23     -466.2
2018/126-12:49:23     -483.9
2018/126-12:59:23     -498.5
2018/126-13:09:23     -493.7
2018/126-13:19:23     -462.0
2018/126-13:29:23     -439.1
2018/126-13:39:23     -429.9
2018/126-13:49:23     -407.4
2018/126-13:59:23     -371.7
2018/126-14:09:23     -316.1
2018/126-14:19:23     -267.3
2018/126-14:29:23     -229.3
2018/126-14:39:23     -197.7
2018/126-14:49:23     -177.5
2018/126-14:59:23     -213.2
2018/126-15:09:23     -231.4
2018/126-15:19:23     -195.9
2018/126-15:29:23     -162.6
2018/126-15:39:23     -171.9
2018/126-15:49:23     -194.5
2018/126-15:59:23     -246.6
2018/126-16:09:23     -316.0
2018/126-16:19:23     -369.5
2018/126-16:29:23     -411.1
2018/126-16:39:23     -429.6
2018/126-16:49:23     -393.6
2018/126-16:59:23     -369.0
2018/126-17:09:23     -347.4
2018/126-17:19:23     -366.1
2018/126-17:29:23     -368.2
2018/126-17:39:23     -297.7
2018/126-17:49:23     -232.7
2018/126-17:59:23     -227.1
2018/126-18:09:23     -239.1
2018/126-18:19:23     -235.9
2018/126-18:29:23     -260.4
2018/126-18:39:23     -291.0
2018/126-18:49:23     -294.4
2018/126-18:59:23     -267.4
2018/126-19:09:23     -266.0
2018/126-19:19:23     -298.7
2018/126-19:29:23     -353.7
2018/126-19:39:23     -409.4
2018/126-19:49:23     -449.8
2018/126-19:59:23     -470.4
2018/126-20:09:23     -494.1
2018/126-20:19:23     -520.7
2018/126-20:29:23     -527.1
2018/126-20:39:23     -478.0
2018/126-20:49:23     -417.1
2018/126-20:59:23     -391.7
2018/126-21:09:23     -422.8
2018/126-21:19:23     -407.2
2018/126-21:29:23     -409.5
2018/126-21:39:23     -413.6
2018/126-21:49:23     -414.0
2018/126-21:59:23     -400.2
2018/126-22:09:23     -392.6
2018/126-22:19:23     -392.6
2018/126-22:29:23     -385.4
2018/126-22:39:23     -370.9
2018/126-22:49:23     -375.9
2018/126-22:59:23     -385.7
2018/126-23:09:23     -391.5
2018/126-23:19:23     -390.4
2018/126-23:29:23     -358.7
2018/126-23:39:23     -331.9
2018/126-23:49:23     -328.6
2018/126-23:59:23     -324.2
2018/127-00:09:23     -314.0
2018/127-00:19:23     -314.9
2018/127-00:29:23     -326.9
2018/127-00:39:23     -331.0
2018/127-00:49:23     -344.5
2018/127-00:59:23     -374.6
2018/127-01:09:23     -372.5
2018/127-01:19:23     -370.7
