      Time          Predicted AE
2013/154-18:40:00      301.4
2013/154-18:50:00      283.4
2013/154-19:00:00      272.9
2013/154-19:10:00      288.7
2013/154-19:20:00      319.3
2013/154-19:30:00      336.1
2013/154-19:40:00      362.5
2013/154-19:50:00      386.3
2013/154-20:00:00      381.4
2013/154-20:10:00      377.4
2013/154-20:20:00      390.4
2013/154-20:30:00      415.0
2013/154-20:40:00      449.9
2013/154-20:50:00      486.0
2013/154-21:00:00      511.3
2013/154-21:10:00      514.4
2013/154-21:20:00      479.3
2013/154-21:30:00      429.0
2013/154-21:40:00      387.2
2013/154-21:50:00      355.5
2013/154-22:00:00      336.1
2013/154-22:10:00      367.0
2013/154-22:20:00      415.4
2013/154-22:30:00      459.8
2013/154-22:40:00      488.3
2013/154-22:50:00      499.6
2013/154-23:00:00      511.1
2013/154-23:10:00      517.3
2013/154-23:20:00      502.0
2013/154-23:30:00      457.1
2013/154-23:40:00      420.7
2013/154-23:50:00      391.7
2013/155-00:00:00      353.5
2013/155-00:10:00      315.7
2013/155-00:20:00      305.0
2013/155-00:30:00      357.3
2013/155-00:40:00      401.9
2013/155-00:50:00      442.9
2013/155-01:00:00      482.1
2013/155-01:10:00      511.2
2013/155-01:20:00      517.2
2013/155-01:30:00      481.1
2013/155-01:40:00      446.4
2013/155-01:50:00      421.6
2013/155-02:00:00      387.1
2013/155-02:10:00      343.7
2013/155-02:20:00      304.2
2013/155-02:30:00      295.5
2013/155-02:40:00      280.1
2013/155-02:50:00      257.4
2013/155-03:00:00      246.7
2013/155-03:10:00      243.6
2013/155-03:20:00      244.0
2013/155-03:30:00      252.7
2013/155-03:40:00      265.4
2013/155-03:50:00      261.9
2013/155-04:00:00      243.4
2013/155-04:10:00      224.5
2013/155-04:20:00      208.3
2013/155-04:30:00      195.8
2013/155-04:40:00      182.7
2013/155-04:50:00      188.9
2013/155-05:00:00      206.1
2013/155-05:10:00      226.1
2013/155-05:20:00      234.5
2013/155-05:30:00      240.7
2013/155-05:40:00      261.5
2013/155-05:50:00      286.4
2013/155-06:00:00      298.4
2013/155-06:10:00      319.1
2013/155-06:20:00      325.4
2013/155-06:30:00      311.6
2013/155-06:40:00      287.7
2013/155-06:50:00      262.3
2013/155-07:00:00      237.7
2013/155-07:10:00      213.1
2013/155-07:20:00      191.0
2013/155-07:30:00      170.4
2013/155-07:40:00      153.9
2013/155-07:50:00      137.5
2013/155-08:00:00      123.9
2013/155-08:10:00      113.5
2013/155-08:20:00      106.5
2013/155-08:30:00      104.1
2013/155-08:40:00      109.2
2013/155-08:50:00      124.9
2013/155-09:00:00      152.3
2013/155-09:10:00      184.6
2013/155-09:20:00      206.3
2013/155-09:30:00      218.1
